"Timestamp","D'apres vous, quel est votre niveau avec PowerShell ?","Quelle heure vous convient le mieux pour assister aux meetings en ligne ? (Heure de Paris)","Sans tenir compte de votre niveau, quelle niveau PowerShell aimeriez vous voir pendant nos meetings ?","Quels sujets de presentation aimeriez vous voir lors de nos future meetings en ligne ?"
"2017/09/18 9:02:37 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00","100 (Débutant) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 9:04:08 AM AST","Debutant (Quelques lignes de commandes par-ci par-la...)","18h00","200 (Intermediaire) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:04:18 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","19h00;20h00;21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... )"
"2017/09/18 9:06:53 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","18h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:07:57 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","20h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 9:08:01 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00","300 (Confirmé/Avancé) ou +","Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/18 9:08:56 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","21h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:14:37 AM AST","Expert (Utilisation quotidienne, integration CI/CD avec Unit Testing/Script analyzing, DSC, ...)","19h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:15:11 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00","200 (Intermediaire) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 9:20:43 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","21h00","400 (Expert)","PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/18 9:29:02 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00;21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);PowerShell Core (.Net Core);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:32:55 AM AST","Debutant (Quelques lignes de commandes par-ci par-la...)","20h00","100 (Débutant) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:50:30 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","19h00;20h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:51:25 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00","300 (Confirmé/Avancé) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 9:58:28 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00","200 (Intermediaire) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 10:09:52 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","19h00;21h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 10:40:22 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00;21h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 11:10:29 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","19h00","400 (Expert)","Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 11:43:27 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","20h00;21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 11:45:23 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 11:46:45 AM AST","Debutant (Quelques lignes de commandes par-ci par-la...)","19h00;20h00;21h00","200 (Intermediaire) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 12:15:51 PM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","21h00","400 (Expert)","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 1:52:30 PM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","20h00","300 (Confirmé/Avancé) ou +","PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/18 2:44:57 PM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00","300 (Confirmé/Avancé) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/18 3:02:06 PM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","20h00;21h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/18 3:09:00 PM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","21h00","300 (Confirmé/Avancé) ou +","Culture DevOps;PowerShell Core (.Net Core);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/18 5:27:56 PM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/18 7:36:22 PM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","18h00","300 (Confirmé/Avancé) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... )"
"2017/09/19 3:09:19 AM AST","Expert (Utilisation quotidienne, integration CI/CD avec Unit Testing/Script analyzing, DSC, ...)","20h00","400 (Expert)","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/19 3:09:19 AM AST","Expert (Utilisation quotidienne, integration CI/CD avec Unit Testing/Script analyzing, DSC, ...)","20h00","400 (Expert)","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/19 5:16:30 AM AST","Expert (Utilisation quotidienne, integration CI/CD avec Unit Testing/Script analyzing, DSC, ...)","20h00;21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);Powercli"
"2017/09/19 5:33:12 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","20h00;21h00","100 (Débutant) ou +","Débuter avec PowerShell;Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/19 7:25:36 AM AST","Debutant (Quelques lignes de commandes par-ci par-la...)","21h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting"
"2017/09/19 9:37:38 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","21h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...)"
"2017/09/20 9:05:19 AM AST","Confirmé/Avancé (Ecrire des functions Avancé, gestion d'erreurs, Creation de module, ...)","20h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;DSC Core ;)"
"2017/09/24 12:01:30 PM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00;20h00","300 (Confirmé/Avancé) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Core (.Net Core);Technologies indispensable (Source Control avec GitHub, Unit Testing avec Pester, Utiliser et creer des regles Script Analyzer,... );Gestion de Configuration (PowerShell avec DSC, SCCM, ...);PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
"2017/09/25 2:53:25 AM AST","Intermediare (Creation de scripts simple et/ou function simple, copie et modification de scripts trouvé en ligne)","19h00","200 (Intermediaire) ou +","Partage d'experience (Regler un probleme avec PowerShell, Reduit le temps d'execution d'une tache, Creation de rapport HTML, Creation d'interface graphique ...);Culture DevOps;PowerShell Security (Attack/Offense, Audit de Securite, EventLog parsing, ... );PowerShell toolmaking et meilleur pratique (faire de meilleurs scripts/functions/modules, choses a eviter, performance, ...);PowerShell Troubleshooting;Technologie specifique (SQL, Office365, Azure, AWS, Container, ...)"
